Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_235.jpg;-5.004135;1;0;2.190632;96.58183;82.85611;0.2278484;201.419;359.1065
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_278.jpg;-3.095001;1;0;2.21973;96.45668;82.81005;0.2473063;200.8006;359.1583
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_319.jpg;-1.214028;1;0;2.249147;96.37138;82.77856;0.2903628;200.5664;359.2104
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_361.jpg;0.911988;1;0;2.277246;96.28477;82.74591;0.359239;200.5076;359.2828
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_403.jpg;2.781324;1;0;2.304906;96.19703;82.71188;0.4518642;200.6232;359.3786
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_444.jpg;4.678502;1;0;2.345562;96.10828;82.67626;0.5662683;200.9074;359.4992
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_486.jpg;6.554142;1;0;2.371993;96.01873;82.63885;0.7003684;201.3546;359.6457
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_527.jpg;8.40681;1;0;2.397694;95.9286;82.59934;0.8517998;201.9778;359.8207
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_569.jpg;8.394853;1;0;2.423441;95.83802;82.55768;1.018674;202.7525;0.0214631
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_614.jpg;5.447141;1;0;2.451961;95.74693;82.51598;1.153095;203.4795;0.1665195
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_660.jpg;0.8510808;1;0;2.478337;95.60911;82.45526;1.26258;204.1589;0.2420653
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_701.jpg;-3.065078;1;0;2.502126;95.51678;82.41702;1.236921;204.2148;0.1670214
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_743.jpg;-7.042066;1;0;2.524477;95.42318;82.37996;1.174733;203.9394;0.01901647
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_784.jpg;-10.14917;1;0;2.582248;95.32807;82.34221;1.129713;203.3342;359.9306
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_827.jpg;-12.22834;1;0;2.606726;95.23125;82.30592;1.089576;202.4635;359.8201
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_867.jpg;-14.35706;1;0;2.629231;95.133;82.27154;1.038839;201.3712;359.6926
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_909.jpg;-15;1;0;2.649944;95.03422;82.23927;0.9326023;200.0711;359.5831
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_951.jpg;-14.66038;1;0;2.679813;94.9348;82.20917;0.771925;198.684;359.4908
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_993.jpg;-15;1;0;2.70497;94.83353;82.1817;0.6065456;197.2883;359.3686
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_034.jpg;-14.13871;1;0;2.729948;94.73074;82.15662;0.4374076;195.9001;359.2251
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_077.jpg;-11.64441;1;0;2.756832;94.62652;82.13316;0.2693828;194.5995;359.0795
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_118.jpg;-9.134192;1;0;2.784478;94.46765;82.09954;0.02578994;192.9886;358.8945
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_159.jpg;-6.639331;1;0;2.810879;94.35944;82.07716;359.9141;192.1881;358.8372
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_201.jpg;-4.142701;1;0;2.83231;94.24851;82.05418;359.9039;191.6126;358.8536
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_243.jpg;-1.666111;1;0;2.858654;94.13503;82.03091;359.9753;191.2436;358.9196
